"","domain_name","sequence_evalue"
"268","HISEQ01:561:D1DRUACXX:7:1104:19658:174317_1",5.5e-17
"269","HISEQ01:561:D1DRUACXX:7:1106:3604:170782_1",5.5e-17
"270","HISEQ01:561:D1DRUACXX:7:1104:8303:140700_1",5.5e-17
"271","HISEQ01:561:D1DRUACXX:7:1203:16784:46599_1",5.5e-17
"272","HISEQ01:561:D1DRUACXX:7:1101:18469:36400_1",5.6e-17
"273","HISEQ01:561:D1DRUACXX:7:1108:7296:191263_1",5.7e-17
"274","HISEQ01:561:D1DRUACXX:7:1205:15890:197625_1",5.8e-17
"275","HISEQ01:561:D1DRUACXX:7:1203:15001:192723_1",5.8e-17
"276","HISEQ01:561:D1DRUACXX:7:1206:3143:103554_1",5.8e-17
"277","HISEQ01:561:D1DRUACXX:7:1103:11697:56139_1",6.1e-17
"278","HISEQ01:561:D1DRUACXX:7:1102:9130:60991_1",6.2e-17
"279","HISEQ01:561:D1DRUACXX:7:1201:19351:96065_1",6.2e-17
"280","HISEQ01:561:D1DRUACXX:7:1201:16723:132342_1",6.3e-17
"281","HISEQ01:561:D1DRUACXX:7:1101:15232:134299_1",6.3e-17
"282","HISEQ01:561:D1DRUACXX:7:1107:12735:55447_1",6.3e-17
"283","HISEQ01:561:D1DRUACXX:7:1205:11304:47774_1",6.9e-17
"284","HISEQ01:561:D1DRUACXX:7:1105:12952:57773_1",7.2e-17
"285","HISEQ01:561:D1DRUACXX:7:1107:6700:153474_1",7.3e-17
"286","HISEQ01:561:D1DRUACXX:7:1202:16695:177781_1",7.4e-17
"287","HISEQ01:561:D1DRUACXX:7:1106:16915:19223_1",7.6e-17
"288","HISEQ01:561:D1DRUACXX:7:1105:15027:58263_1",7.7e-17
"289","HISEQ01:561:D1DRUACXX:7:1206:15999:188150_1",7.8e-17
"290","HISEQ01:561:D1DRUACXX:7:1105:1609:59700_1",7.8e-17
"291","HISEQ01:561:D1DRUACXX:7:1107:13729:95393_1",7.9e-17
"292","HISEQ01:561:D1DRUACXX:7:1102:3229:90081_1",8.4e-17
"293","HISEQ01:561:D1DRUACXX:7:1104:9030:158725_1",8.6e-17
"294","HISEQ01:561:D1DRUACXX:7:1204:8285:151114_1",8.7e-17
"295","HISEQ01:561:D1DRUACXX:7:1103:8107:175765_1",8.8e-17
"296","HISEQ01:561:D1DRUACXX:7:1204:5674:155137_1",8.8e-17
"297","HISEQ01:561:D1DRUACXX:7:1107:4794:181072_1",8.8e-17
"298","HISEQ01:561:D1DRUACXX:7:1201:3988:89059_1",9.3e-17
"299","HISEQ01:561:D1DRUACXX:7:1205:17832:107458_1",9.4e-17
"300","HISEQ01:561:D1DRUACXX:7:1102:11289:156777_1",9.4e-17
"301","HISEQ01:561:D1DRUACXX:7:1205:18248:77642_1",9.5e-17
"302","HISEQ01:561:D1DRUACXX:7:1102:18909:97522_1",9.6e-17
"303","HISEQ01:561:D1DRUACXX:7:1201:6281:41643_1",9.7e-17
"304","HISEQ01:561:D1DRUACXX:7:1105:10242:157540_1",9.8e-17
"305","HISEQ01:561:D1DRUACXX:7:1101:12725:61076_1",1e-16
"306","HISEQ01:561:D1DRUACXX:7:1201:7997:47254_1",1e-16
"307","HISEQ01:561:D1DRUACXX:7:1102:1583:107665_1",1e-16
"308","HISEQ01:561:D1DRUACXX:7:1201:17130:99250_1",1.1e-16
"309","HISEQ01:561:D1DRUACXX:7:1205:14222:5716_1",1.1e-16
