"","domain_name","sequence_evalue"
"182","HISEQ01:561:D1DRUACXX:7:1103:17571:157645_1",1e-10
"183","HISEQ01:561:D1DRUACXX:7:1206:7355:196194_1",1.1e-10
"184","HISEQ01:561:D1DRUACXX:7:1101:4243:110695_1",1.1e-10
"185","HISEQ01:561:D1DRUACXX:7:1106:15891:5195_1",1.2e-10
"186","HISEQ01:561:D1DRUACXX:7:1107:10779:22452_1",1.2e-10
"187","HISEQ01:561:D1DRUACXX:7:1104:2222:182237_1",1.4e-10
"188","HISEQ01:561:D1DRUACXX:7:1102:15036:191532_1",1.5e-10
"189","HISEQ01:561:D1DRUACXX:7:1205:1637:82817_1",1.5e-10
"190","HISEQ01:561:D1DRUACXX:7:1108:3221:112695_1",1.6e-10
"191","HISEQ01:561:D1DRUACXX:7:1107:10578:18839_1",1.6e-10
"192","HISEQ01:561:D1DRUACXX:7:1102:2077:154646_1",1.6e-10
"193","HISEQ01:561:D1DRUACXX:7:1206:17285:161679_1",1.7e-10
"194","HISEQ01:561:D1DRUACXX:7:1102:10687:175045_1",1.7e-10
"195","HISEQ01:561:D1DRUACXX:7:1205:8677:94614_1",1.8e-10
"196","HISEQ01:561:D1DRUACXX:7:1202:9839:61158_1",1.8e-10
"197","HISEQ01:561:D1DRUACXX:7:1204:16529:151358_1",1.9e-10
"198","HISEQ01:561:D1DRUACXX:7:1204:12282:149807_1",1.9e-10
"199","HISEQ01:561:D1DRUACXX:7:1105:19596:100725_1",1.9e-10
"200","HISEQ01:561:D1DRUACXX:7:1204:8397:185304_1",2.1e-10
"201","HISEQ01:561:D1DRUACXX:7:1102:9858:159997_1",2.1e-10
"202","HISEQ01:561:D1DRUACXX:7:1106:11399:90647_1",2.1e-10
"203","HISEQ01:561:D1DRUACXX:7:1202:7931:37632_1",2.1e-10
"204","HISEQ01:561:D1DRUACXX:7:1202:10948:131298_1",2.1e-10
"205","HISEQ01:561:D1DRUACXX:7:1105:16649:146638_1",2.4e-10
"206","HISEQ01:561:D1DRUACXX:7:1102:14718:30941_1",2.5e-10
"207","HISEQ01:561:D1DRUACXX:7:1101:17256:111186_1",2.7e-10
"208","HISEQ01:561:D1DRUACXX:7:1205:13438:157339_1",2.7e-10
"209","HISEQ01:561:D1DRUACXX:7:1103:9696:18780_1",2.7e-10
"210","HISEQ01:561:D1DRUACXX:7:1107:19308:92948_1",2.8e-10
"211","HISEQ01:561:D1DRUACXX:7:1108:11576:124463_1",2.8e-10
"212","HISEQ01:561:D1DRUACXX:7:1108:16387:142320_1",2.8e-10
"213","HISEQ01:561:D1DRUACXX:7:1101:15032:102435_1",2.8e-10
"214","HISEQ01:561:D1DRUACXX:7:1103:13350:42834_1",2.9e-10
"215","HISEQ01:561:D1DRUACXX:7:1206:6830:63038_1",3e-10
"216","HISEQ01:561:D1DRUACXX:7:1107:18346:189597_1",3.2e-10
"217","HISEQ01:561:D1DRUACXX:7:1106:9597:141718_1",3.2e-10
"218","HISEQ01:561:D1DRUACXX:7:1104:19396:85120_1",3.2e-10
"219","HISEQ01:561:D1DRUACXX:7:1107:6114:79456_1",3.3e-10
"220","HISEQ01:561:D1DRUACXX:7:1107:8389:18904_1",3.4e-10
"221","HISEQ01:561:D1DRUACXX:7:1203:7857:27862_1",3.4e-10
"222","HISEQ01:561:D1DRUACXX:7:1201:1121:50833_1",3.5e-10
"223","HISEQ01:561:D1DRUACXX:7:1206:19425:32918_1",3.6e-10
"224","HISEQ01:561:D1DRUACXX:7:1104:3630:186154_1",3.6e-10
"225","HISEQ01:561:D1DRUACXX:7:1101:19412:145275_1",3.6e-10
"226","HISEQ01:561:D1DRUACXX:7:1202:18927:136998_1",3.7e-10
"227","HISEQ01:561:D1DRUACXX:7:1206:9737:138971_1",4.1e-10
"228","HISEQ01:561:D1DRUACXX:7:1103:5409:17190_1",4.1e-10
"229","HISEQ01:561:D1DRUACXX:7:1108:19453:68905_1",4.1e-10
"230","HISEQ01:561:D1DRUACXX:7:1101:3949:41761_1",4.4e-10
"231","HISEQ01:561:D1DRUACXX:7:1207:2416:38926_1",4.4e-10
"232","HISEQ01:561:D1DRUACXX:7:1202:16950:137521_1",4.4e-10
"233","HISEQ01:561:D1DRUACXX:7:1108:3691:136976_1",4.8e-10
"234","HISEQ01:561:D1DRUACXX:7:1205:10066:4760_1",4.9e-10
"235","HISEQ01:561:D1DRUACXX:7:1103:4947:113759_1",5.1e-10
"236","HISEQ01:561:D1DRUACXX:7:1205:6166:163176_1",5.3e-10
"237","HISEQ01:561:D1DRUACXX:7:1102:4345:31333_1",5.5e-10
"238","HISEQ01:561:D1DRUACXX:7:1107:9348:199152_1",5.6e-10
"239","HISEQ01:561:D1DRUACXX:7:1206:8725:51929_1",5.6e-10
"240","HISEQ01:561:D1DRUACXX:7:1105:2627:145467_1",5.7e-10
"241","HISEQ01:561:D1DRUACXX:7:1104:13421:168201_1",5.9e-10
"242","HISEQ01:561:D1DRUACXX:7:1104:10379:83975_1",5.9e-10
"243","HISEQ01:561:D1DRUACXX:7:1105:6030:100970_1",6.1e-10
"244","HISEQ01:561:D1DRUACXX:7:1203:15707:61989_1",6.2e-10
"245","HISEQ01:561:D1DRUACXX:7:1105:18187:158389_1",6.2e-10
"246","HISEQ01:561:D1DRUACXX:7:1107:13147:32938_1",7.1e-10
"247","HISEQ01:561:D1DRUACXX:7:1103:19729:102088_1",7.1e-10
"248","HISEQ01:561:D1DRUACXX:7:1107:15365:3322_1",7.3e-10
"249","HISEQ01:561:D1DRUACXX:7:1204:8717:17161_1",7.4e-10
"250","HISEQ01:561:D1DRUACXX:7:1104:18194:142039_1",7.6e-10
"251","HISEQ01:561:D1DRUACXX:7:1108:6599:57034_1",7.6e-10
"252","HISEQ01:561:D1DRUACXX:7:1103:20163:90770_1",7.7e-10
"253","HISEQ01:561:D1DRUACXX:7:1203:16150:188020_1",8e-10
"254","HISEQ01:561:D1DRUACXX:7:1206:8432:69780_1",8e-10
"255","HISEQ01:561:D1DRUACXX:7:1102:17120:190687_1",8.5e-10
"256","HISEQ01:561:D1DRUACXX:7:1106:8856:21253_1",8.7e-10
"257","HISEQ01:561:D1DRUACXX:7:1104:1076:80003_1",8.7e-10
"258","HISEQ01:561:D1DRUACXX:7:1107:10818:79284_1",8.8e-10
"259","HISEQ01:561:D1DRUACXX:7:1101:20168:89585_1",8.9e-10
"260","HISEQ01:561:D1DRUACXX:7:1203:20394:167381_1",9.1e-10
"261","HISEQ01:561:D1DRUACXX:7:1204:8397:185304_1",9.2e-10
"262","HISEQ01:561:D1DRUACXX:7:1102:9334:161778_1",9.7e-10
"263","HISEQ01:561:D1DRUACXX:7:1107:15365:3322_1",9.7e-10
"264","HISEQ01:561:D1DRUACXX:7:1203:10521:85090_1",9.9e-10
"265","HISEQ01:561:D1DRUACXX:7:1101:13391:106225_1",1e-09
"266","HISEQ01:561:D1DRUACXX:7:1103:5741:186079_1",1e-09
"267","HISEQ01:561:D1DRUACXX:7:1106:3994:19812_1",1e-09
"268","HISEQ01:561:D1DRUACXX:7:1104:17261:58023_1",1.1e-09
"269","HISEQ01:561:D1DRUACXX:7:1105:15183:116951_1",1.1e-09
"270","HISEQ01:561:D1DRUACXX:7:1202:1457:14818_1",1.1e-09
"271","HISEQ01:561:D1DRUACXX:7:1101:14631:68624_1",1.1e-09
"272","HISEQ01:561:D1DRUACXX:7:1106:10048:23420_1",1.1e-09
"273","HISEQ01:561:D1DRUACXX:7:1105:12917:125732_1",1.1e-09
"274","HISEQ01:561:D1DRUACXX:7:1108:9881:122600_1",1.1e-09
"275","HISEQ01:561:D1DRUACXX:7:1106:1925:183816_1",1.3e-09
"276","HISEQ01:561:D1DRUACXX:7:1105:1374:16100_1",1.3e-09
"277","HISEQ01:561:D1DRUACXX:7:1107:20387:29499_1",1.3e-09
"278","HISEQ01:561:D1DRUACXX:7:1105:18187:158389_1",1.3e-09
"279","HISEQ01:561:D1DRUACXX:7:1202:8971:47799_1",1.3e-09
"280","HISEQ01:561:D1DRUACXX:7:1105:13223:167098_1",1.4e-09
"281","HISEQ01:561:D1DRUACXX:7:1108:12804:144281_1",1.5e-09
"282","HISEQ01:561:D1DRUACXX:7:1108:10993:151869_1",1.5e-09
"283","HISEQ01:561:D1DRUACXX:7:1101:13567:106577_1",1.6e-09
"284","HISEQ01:561:D1DRUACXX:7:1203:14763:189190_1",1.8e-09
"285","HISEQ01:561:D1DRUACXX:7:1203:2138:154888_1",1.8e-09
"286","HISEQ01:561:D1DRUACXX:7:1105:4097:146446_1",1.8e-09
"287","HISEQ01:561:D1DRUACXX:7:1104:9518:185054_1",1.8e-09
"288","HISEQ01:561:D1DRUACXX:7:1203:4476:192402_1",2e-09
"289","HISEQ01:561:D1DRUACXX:7:1102:8521:36571_1",2e-09
"290","HISEQ01:561:D1DRUACXX:7:1108:16857:95215_1",2e-09
"291","HISEQ01:561:D1DRUACXX:7:1107:20169:152194_1",2.1e-09
"292","HISEQ01:561:D1DRUACXX:7:1201:15647:173666_1",2.1e-09
"293","HISEQ01:561:D1DRUACXX:7:1105:13892:139584_1",2.1e-09
"294","HISEQ01:561:D1DRUACXX:7:1201:15503:38629_1",2.1e-09
"295","HISEQ01:561:D1DRUACXX:7:1105:6151:75823_1",2.2e-09
"296","HISEQ01:561:D1DRUACXX:7:1106:10048:23420_1",2.4e-09
"297","HISEQ01:561:D1DRUACXX:7:1205:12746:195201_1",2.5e-09
"298","HISEQ01:561:D1DRUACXX:7:1107:16100:193646_1",2.5e-09
"299","HISEQ01:561:D1DRUACXX:7:1104:9345:94411_1",2.9e-09
"300","HISEQ01:561:D1DRUACXX:7:1103:9948:131818_1",2.9e-09
"301","HISEQ01:561:D1DRUACXX:7:1202:17663:75835_1",3e-09
"302","HISEQ01:561:D1DRUACXX:7:1202:18250:89597_1",3e-09
"303","HISEQ01:561:D1DRUACXX:7:1107:11360:139847_1",3.1e-09
"304","HISEQ01:561:D1DRUACXX:7:1108:7227:97320_1",3.2e-09
"305","HISEQ01:561:D1DRUACXX:7:1204:2288:108701_1",3.4e-09
"306","HISEQ01:561:D1DRUACXX:7:1204:15556:145502_1",3.5e-09
"307","HISEQ01:561:D1DRUACXX:7:1101:3318:154053_1",3.6e-09
"308","HISEQ01:561:D1DRUACXX:7:1203:14763:189190_1",3.7e-09
"309","HISEQ01:561:D1DRUACXX:7:1101:19412:145275_1",3.8e-09
"310","HISEQ01:561:D1DRUACXX:7:1203:14464:149306_1",4.1e-09
"311","HISEQ01:561:D1DRUACXX:7:1206:16438:63336_1",4.1e-09
"312","HISEQ01:561:D1DRUACXX:7:1107:19034:103298_1",4.1e-09
"313","HISEQ01:561:D1DRUACXX:7:1203:14464:149306_1",4.3e-09
"314","HISEQ01:561:D1DRUACXX:7:1103:12568:37893_1",4.5e-09
"315","HISEQ01:561:D1DRUACXX:7:1107:2613:179999_1",4.6e-09
"316","HISEQ01:561:D1DRUACXX:7:1108:9411:59270_1",4.7e-09
"317","HISEQ01:561:D1DRUACXX:7:1202:7129:186179_1",4.7e-09
"318","HISEQ01:561:D1DRUACXX:7:1105:11368:12424_1",4.8e-09
"319","HISEQ01:561:D1DRUACXX:7:1107:2610:68085_1",4.9e-09
"320","HISEQ01:561:D1DRUACXX:7:1108:6502:89380_1",4.9e-09
"321","HISEQ01:561:D1DRUACXX:7:1104:18378:106535_1",5.2e-09
"322","HISEQ01:561:D1DRUACXX:7:1204:6189:109848_1",5.4e-09
"323","HISEQ01:561:D1DRUACXX:7:1206:12603:120402_1",6e-09
"324","HISEQ01:561:D1DRUACXX:7:1106:7925:86465_1",6e-09
"325","HISEQ01:561:D1DRUACXX:7:1206:18115:26500_1",6e-09
"326","HISEQ01:561:D1DRUACXX:7:1202:19603:119257_1",6.1e-09
"327","HISEQ01:561:D1DRUACXX:7:1103:1291:172667_1",6.1e-09
"328","HISEQ01:561:D1DRUACXX:7:1201:18039:89012_1",6.3e-09
"329","HISEQ01:561:D1DRUACXX:7:1106:13536:149758_1",6.5e-09
