"","domain_name","sequence_evalue"
"236","NS500302:312:HJHHTBGX5:3:13511:23581:16157_1:579393",1.6e-16
"237","NS500302:312:HJHHTBGX5:3:21610:3827:19446_1:626659",1.6e-16
"238","NS500302:312:HJHHTBGX5:3:22410:19480:18960_1:638642",1.6e-16
"239","NS500302:312:HJHHTBGX5:4:12609:2763:19614_1:776372",1.6e-16
"240","NS500302:312:HJHHTBGX5:4:13502:15192:16053_1:795326",1.6e-16
"241","NS500302:312:HJHHTBGX5:4:13509:1999:11451_1:802448",1.6e-16
"242","NS500302:312:HJHHTBGX5:4:21605:13180:11047_1:849438",1.6e-16
"243","NS500302:312:HJHHTBGX5:4:22408:11491:1192_1:864839",1.6e-16
"244","NS500302:312:HJHHTBGX5:4:23408:5696:16547_1:905288",1.6e-16
"245","NS500302:312:HJHHTBGX5:1:13106:25706:3236_1:86136",2e-16
"246","NS500302:312:HJHHTBGX5:1:12302:18413:10160_1:68430",2e-16
"247","NS500302:312:HJHHTBGX5:2:13302:19065:15993_1:350399",2e-16
"248","NS500302:312:HJHHTBGX5:2:13307:21831:6970_1:355318",2e-16
"249","NS500302:312:HJHHTBGX5:2:13308:4952:19190_1:357237",2e-16
"250","NS500302:312:HJHHTBGX5:2:21308:23750:8559_1:398713",2e-16
"251","NS500302:312:HJHHTBGX5:3:13403:13912:16106_1:559347",2e-16
"252","NS500302:312:HJHHTBGX5:3:21401:6026:13823_1:593418",2e-16
"253","NS500302:312:HJHHTBGX5:4:22405:10383:10954_1:862018",2e-16
"254","NS500302:312:HJHHTBGX5:4:11503:14777:12152_1:718721",2.3e-16
"255","NS500302:312:HJHHTBGX5:3:13608:7673:9941_1:588222",2.4e-16
"256","NS500302:312:HJHHTBGX5:2:13302:19065:15993_1:350400",3.4e-16
"257","NS500302:312:HJHHTBGX5:2:13308:4952:19190_1:357238",3.4e-16
"258","NS500302:312:HJHHTBGX5:3:13403:13912:16106_1:559348",3.4e-16
"259","NS500302:312:HJHHTBGX5:3:21401:6026:13823_1:593419",3.4e-16
"260","NS500302:312:HJHHTBGX5:4:22405:10383:10954_1:862019",3.4e-16
"261","NS500302:312:HJHHTBGX5:3:13503:4478:3419_1:570622",3.7e-16
"262","NS500302:312:HJHHTBGX5:1:12308:23901:3781_1:74675",4.1e-16
"263","NS500302:312:HJHHTBGX5:1:13101:15769:15975_1:80940",4.1e-16
"264","NS500302:312:HJHHTBGX5:1:13103:4361:17628_1:83387",4.1e-16
"265","NS500302:312:HJHHTBGX5:2:11306:6589:12274_1:274533",4.1e-16
"266","NS500302:312:HJHHTBGX5:2:21104:12825:4638_1:365633",4.1e-16
"267","NS500302:312:HJHHTBGX5:2:23207:8064:12648_1:463955",4.1e-16
"268","NS500302:312:HJHHTBGX5:2:23305:2853:10089_1:475122",4.1e-16
"269","NS500302:312:HJHHTBGX5:3:12401:4602:9280_1:520513",4.1e-16
"270","NS500302:312:HJHHTBGX5:3:12410:16144:8848_1:529367",4.1e-16
"271","NS500302:312:HJHHTBGX5:4:12412:2638:13454_1:753935",4.1e-16
"272","NS500302:312:HJHHTBGX5:4:21407:10091:12168_1:825506",4.1e-16
"273","NS500302:312:HJHHTBGX5:4:23501:3211:9402_1:910487",4.1e-16
"274","NS500302:312:HJHHTBGX5:4:23512:8044:4572_1:922524",4.1e-16
"275","NS500302:312:HJHHTBGX5:4:23512:11914:15431_1:923188",4.7e-16
"276","NS500302:312:HJHHTBGX5:1:11104:20748:15407_1:4337",4.8e-16
"277","NS500302:312:HJHHTBGX5:4:21406:9067:17711_1:824683",5e-16
"278","NS500302:312:HJHHTBGX5:3:22507:24291:12613_1:647701",5.4e-16
"279","NS500302:312:HJHHTBGX5:4:22603:22361:4795_1:885931",5.4e-16
"280","NS500302:312:HJHHTBGX5:4:13408:23627:16584_1:788481",5.6e-16
"281","NS500302:312:HJHHTBGX5:1:21211:19750:3373_1:145680",5.7e-16
"282","NS500302:312:HJHHTBGX5:1:22212:4600:14276_1:187901",5.7e-16
